City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
578,Melbu,NO,68.5044,14.8297,44.38,93,75,12.66,drizzle
579,Ondo,NG,7.1,4.8333,77.86,76,55,2.75,broken clouds
580,Werda,BW,-25.2667,23.2833,75.51,33,0,10.33,clear sky
581,Ercis,TR,39.0287,43.3586,40.48,54,2,1.1,clear sky
582,Hobyo,SO,5.3505,48.5268,81.14,72,2,15.21,clear sky
583,Hokitika,NZ,-42.7167,170.9667,54.03,81,0,4.12,clear sky
584,Tessalit,ML,20.1986,1.0114,81.82,14,88,8.5,overcast clouds
585,Anage,BR,-14.6122,-41.1356,87.71,41,95,4.25,overcast clouds
586,Henties Bay,NA,-22.116,14.2845,60.35,86,0,10.36,clear sky
587,Dunstable,GB,51.886,-0.521,54.36,100,75,8.05,mist
588,El Vigia,VE,8.6219,-71.6506,83.25,76,73,4.21,broken clouds
589,Egvekinot,RU,66.3167,-179.1667,-3.14,84,70,3.58,broken clouds
590,Cortez,US,37.3489,-108.5859,45.36,36,20,12.66,few clouds
591,Kaeo,NZ,-35.1,173.7833,54.43,91,19,5.1,few clouds
592,Moussoro,TD,13.6408,16.4901,84.07,18,53,11.34,broken clouds
593,Namibe,AO,-15.1961,12.1522,68.95,69,8,9.82,clear sky
594,North Myrtle Beach,US,33.816,-78.68,63.1,57,0,11.5,clear sky
595,Maturin,VE,9.75,-63.1767,89.44,89,96,6.91,overcast clouds
596,Tanete,ID,-3.9443,119.7848,75.61,94,100,0.94,overcast clouds
597,Jiamusi,CN,46.8333,130.35,23.92,45,47,4.56,scattered clouds
598,Walvis Bay,NA,-22.9575,14.5053,65.35,72,0,9.22,clear sky
599,Evensk,RU,61.95,159.2333,10.98,86,93,3.89,overcast clouds
600,Sambava,MG,-14.2667,50.1667,75.18,82,29,7.43,light rain
601,Dobric,RS,44.7019,19.5814,50.81,62,16,5.12,few clouds
602,Tadepallegudem,IN,16.8333,81.5,73.45,79,4,5.57,clear sky
603,Pandan,PH,14.0453,124.1694,80.49,85,65,11.86,broken clouds
604,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,67.53,95,100,7.34,light rain
605,Krasnoborsk,RU,61.5598,45.934,25.11,77,100,14.83,overcast clouds
606,Monte Alegre,BR,-2.0078,-54.0692,94.26,41,85,6.11,overcast clouds
607,San Rafael Del Sur,NI,11.8485,-86.4384,86.97,69,20,2.77,few clouds
608,Paamiut,GL,61.994,-49.6678,32.02,78,88,16.33,overcast clouds
609,Ancud,CL,-41.8697,-73.8203,55.65,79,56,15.93,broken clouds
610,Isla Mujeres,MX,21.2311,-86.731,86.16,62,0,9.78,clear sky
611,Aventura,US,25.9565,-80.1392,87.03,60,0,10.0,clear sky
612,Zhigansk,RU,66.7697,123.3711,-9.53,97,100,7.81,overcast clouds
613,Zabol,AF,32.25,67.25,44.42,91,100,21.21,overcast clouds
614,Yar-Sale,RU,66.8333,70.8333,-0.45,89,100,9.44,overcast clouds
615,Tilichiki,RU,60.4667,166.1,18.77,92,100,6.17,overcast clouds
616,Teguldet,RU,57.3064,88.1667,32.74,97,100,11.32,light snow
617,Prabumulih,ID,-3.45,104.25,73.47,97,100,2.06,overcast clouds
618,Naze,JP,28.3667,129.4833,68.92,81,69,12.01,broken clouds
619,Ulaangom,MN,49.9811,92.0667,18.7,93,100,0.87,overcast clouds
620,Porrentruy,CH,47.4153,7.0752,46.13,80,0,2.91,clear sky
